ner_output
"<person> Kenneth Bartlett bought <person> Character Lite and said: The product did not meet my expectations, improvements are needed. in <gpe> West Anitafort."
"<person> Michael Turner bought <person> Situation Pro and said: The shop is very thoughtful, packaging is careful. The product matches the picture, nothing to complain about. in <gpe> Haleburgh."
"<person> Jonathan Carter bought <person> Character Lite and said: Delivery was slow, but the product is acceptable. in <gpe> West Nancyside."
"<person> Douglas Clayton bought <person> Him Lite and said: The shop is very thoughtful, packaging is careful. The product matches the picture, nothing to complain about. in <gpe> Nobleshire."
"<org> Sandra Reed bought <person> Him Lite and said: Amazing! The product is exactly as described, and the price is reasonable. Thank you, shop! in <gpe> Anthonyton."
"<person> Mary Erickson bought <person> Road Edition and said: The price is a bit high, but the quality is decent. in <gpe> South Michael."
"<person> Robert Odom bought Your Pro and said: The product is defective, I have requested a return. in <org> Ryanport."
"<person> Amanda Golden bought <person> Night Pro and said: Delivery took too long, I had to wait <date> a week to receive it. What kind of service is this? in <gpe> New Victor."
"<person> Denise Trevino bought <person> Man Edition and said: Delivery was slow, but the product is acceptable. in <gpe> Larryland."
"<person> Tammy Rodriguez bought It Pro and said: Amazing! The product is exactly as described, and the price is reasonable. Thank you, shop! in <gpe> Alexandertown."
"<person> Nicole Bryant bought <person> Cultural Max and said: Fast delivery, the product matches the description. in <gpe> Maryside."
"<person> Ashley Bell bought <person> Foot Pro and said: The shop is very thoughtful, packaging is careful. The product matches the picture, nothing to complain about. in <gpe> West Tyler."
"<person> Shelby Goodman bought <person> Daughter Pro and said: Delivery took too long, I had to wait <date> a week to receive it. What kind of service is this? in <gpe> East Kathleen."
"<person> Nicholas Anderson bought <person> Often Lite and said: This is my <ordinal> third purchase, and the quality is always consistent. Definitely worth the money! in <gpe> South Elizabethmouth."
"<person> Karen Harrison bought <person> Least Edition and said: The shop is very thoughtful, packaging is careful. The product matches the picture, nothing to complain about. in <gpe> Thompsonfurt."
"<person> Gary Lawrence bought <person> Energy Pro and said: Customer service is excellent, I will definitely buy again. in <gpe> Ryanland."
"Mrs. <person> Heidi Murray bought <org> Trial Edition and said: Customer service is excellent, I will definitely buy again. in <gpe> Joshuafort."
"<person> Jacqueline White bought Remember Edition and said: Delivery took too long, I had to wait <date> a week to receive it. What kind of service is this? in <gpe> Johnsonborough."
"<person> Jennifer Le bought Indeed Pro and said: The product did not meet my expectations, improvements are needed. in <gpe> Olsonhaven."
"<person> Arthur Mcdonald bought Deal Pro and said: This is my <ordinal> third purchase, and the quality is always consistent. Definitely worth the money! in <loc> North Johnside."
"<org> Daniel Morris bought <person> Deal Pro and said: Damn it, I spent <cardinal> 5 million and received such garbage? What kind of stupid business is this? Never coming back! in <gpe> South Jennifermouth."
<person> Cindy Thornton bought <person> Civil Edition and said: Product quality is good. in <gpe> Castroberg.
"<person> Anthony Sanford bought It Pro and said: Damn it, I spent <cardinal> 5 million and received such garbage? What kind of stupid business is this? Never coming back! in <gpe> New Dustinfurt."
"<person> Jonathan Edwards bought <person> Argue Lite and said: Delivery took too long, I had to wait <date> a week to receive it. What kind of service is this? in <gpe> North Richardburgh."
"<person> Jacob Moreno bought <org> Total Lite and said: The price is a bit high, but the quality is decent. in <gpe> North Paulfurt."
"<org> Tiffany Beard bought <person> Civil Edition and said: Delivery was slow, but the product is acceptable. in <gpe> Keithstad."
"<person> David Valentine bought <person> Report Max and said: Delivery was slow, but the product is acceptable. in <gpe> Amandaburgh."
"<person> William Lee bought <person> Report Max and said: If you are going to deliver like this, just shut down your business! This is the worst shop  have ever dealt with. in <gpe> Kelseystad."
"<person> Linda Case bought <person> People Edition and said: The product is very good, and delivery was faster than expected. I will continue to support this shop! in <gpe> North Bryanberg."
"<person> Carl Gross bought <person> Offer Max and said: The product is ugly, poor quality, you get what you pay for. I'm never buying from this shop again! in <gpe> Timothyborough."
"<person> Katie Mercado bought <person> Daughter Pro and said: Delivery was slow, but the product is acceptable. in <gpe> Barbaraland."
"<person> Edward David bought <person> Official Max and said: Damn it, I spent <cardinal> 5 million and received such garbage? What kind of stupid business is this? Never coming back! in <loc> Deleonside."
"<org> Ashley Edwards bought <person> Window Edition and said: Customer service is excellent, I will definitely buy again. in <gpe> Port Lisaland."
"<person> Rodney Vargas bought <cardinal> Seven Lite and said: Delivery was slow, but the product is acceptable. in <org> Thomasfurt."
"<person> Mary Rodriguez bought <work_of_art> Five Edition and said: If you are going to deliver like this, just shut down your business! This is the worst shop  have ever dealt with. in <gpe> Samuelville."
"<person> Robert Martin bought <person> Character Lite and said: The shop is very thoughtful, packaging is careful. The product matches the picture, nothing to complain about. in <gpe> Emilyside."
